,Property_ID,Prop_Type,Tax_Key,Address,District_Num,Nbhd_Num,Style,Unit_Count,Fbath_Count,Hbath_Count,Lot_Size,Sale_Date,Sale_Price,Ext_Wall,Story_Count,Year_Built,Room_Count,Finished_Sqft,Bdrm_Count,Condo_Project
5664,227812,Residential,5030447000,2765 S WENTWORTH AV,14,4540,Res O/S A & 1/2,1,1,1,3600,2022-06-20,455000.0,Aluminum/Vinyl,1.0,1919.0,6.0,1101.0,3.0,
5665,227870,Residential,5030605000,2821 S SUPERIOR ST,14,4560,Colonial,1,2,1,5400,2022-08-05,795000.0,Stucco,2.0,1914.0,8.0,2393.0,4.0,
5667,227935,Residential,5030723000,2367 E FERNWOOD AV,14,4600,Res O/S 1 Story,1,1,0,5000,2022-04-26,360300.0,Aluminum/Vinyl,1.0,1930.0,6.0,1046.0,3.0,
5668,227949,Residential,5030737000,2229 E FERNWOOD AV,14,4600,Res O/S 2sty +,1,2,1,7500,2022-02-24,330000.0,Aluminum/Vinyl,2.0,1869.0,7.0,1758.0,3.0,
5669,227961,Residential,5030808000,2869-2871 S MABBETT AV,14,4540,Dplx Bungalow,2,2,0,5700,2022-07-05,399900.0,Aluminum/Vinyl,2.0,1921.0,10.0,2111.0,4.0,
5671,227987,Residential,5030839000,2860-2862 S DELAWARE AV,14,4540,Duplex O/S,2,2,0,3510,2022-05-25,340000.0,Asphalt/Other,2.0,1909.0,11.0,2640.0,5.0,
5672,227998,Residential,5030852100,2851-2853 S SUPERIOR ST,14,4560,Dplx Bungalow,2,2,0,7020,2022-10-31,775000.0,Brick,2.0,1926.0,12.0,2746.0,6.0,
5673,228020,Residential,5030876000,2850 S WENTWORTH AV,14,4540,Res O/S 2sty +,1,2,1,3510,2022-06-01,570000.0,Fiber Cement/Hardiplank,2.0,1907.0,7.0,2118.0,3.0,
5674,228034,Residential,5030892100,2951 S SUPERIOR ST,14,4560,Cape Cod,1,2,0,7020,2022-07-08,761000.0,Aluminum/Vinyl,1.5,1985.0,16.0,1756.0,7.0,
5675,228055,Residential,5030916000,2901 S WENTWORTH AV,14,4540,Duplex O/S,2,2,0,5616,2022-07-25,340000.0,Aluminum/Vinyl,2.0,1890.0,9.0,2036.0,4.0,
5676,228073,Residential,5030934000,2957 S WENTWORTH AV,14,4540,Res O/S 2sty +,1,1,0,5265,2022-05-12,355000.0,Aluminum/Vinyl,2.0,1907.0,9.0,2092.0,4.0,
5677,228101,Residential,5030965000,2986 S MABBETT AV,14,4540,Milwaukee Bungalow,1,1,0,3510,2022-10-03,350000.0,Brick,1.0,1928.0,6.0,1480.0,3.0,
